,0,1,2,3,4
39,8.307227,10.358888,7.7198615,5.9317236,8.813024
40,8.271851,10.455954,7.493437,5.5894074,8.685395
41,8.298216,10.246677,7.477724,5.5929294,8.478269
42,8.316264,10.422987,7.2881413,5.5899982,8.421375
43,8.18952,10.354048,7.186379,5.4130445,8.379347
44,8.026888,10.277683,7.1898365,5.302947,8.220287
45,8.050067,10.232681,6.92269,5.394701,8.09089
46,8.017227,10.066608,6.9763904,5.165677,8.069526
47,7.9358726,10.056776,6.8204794,5.1236696,8.1201935
48,7.8638005,9.9636755,6.8326135,5.1263022,7.8235645
49,7.9662414,10.070037,6.6931424,5.133161,8.005521
50,7.9242334,9.919071,6.7113614,4.9571505,7.8832197
51,7.901965,9.798318,6.4699,5.0277376,7.749624
52,7.953785,9.8454075,6.5906034,4.8873982,7.6840076
53,7.8350053,9.889017,6.5167,4.8291526,7.764936
54,7.8200793,9.876109,6.568126,4.751651,7.785142
55,7.688943,9.862723,6.3024564,4.7316613,7.6380353
56,7.744834,9.751358,6.4358163,4.694886,7.76742
57,7.7643228,9.67796,6.4112062,4.691797,7.6491146
58,7.714359,9.738815,6.312888,4.68155,7.4521923
59,7.663254,9.654322,6.2770424,4.734024,7.2877626
60,7.656387,9.715974,6.305097,4.6810513,7.3104625
61,7.51827,9.716629,6.152068,4.689709,7.334678
62,7.557968,9.607635,6.1559157,4.522194,7.398292
63,7.517994,9.475501,6.21686,4.452667,7.371377
64,7.466453,9.6495695,6.1888547,4.4435654,7.1619296
65,7.4296813,9.420558,6.1031904,4.408949,7.3042693
66,7.512441,9.527438,6.152756,4.442284,7.3637714
67,7.318666,9.402685,5.998728,4.4760814,7.2272363
68,7.297777,9.41836,6.2046566,4.3896656,7.1563272
69,7.474339,9.675562,6.1005473,4.3825374,7.159908
70,7.3282027,9.566485,5.986908,4.3459415,7.0537834
71,7.452833,9.419378,6.049606,4.3109765,7.053686
72,7.429727,9.480703,5.9515924,4.4584603,7.02571
73,7.2768674,9.52433,6.0402236,4.3610663,7.077214
74,7.282385,9.473711,6.068468,4.259605,7.0172987
75,7.242297,9.396706,5.9249105,4.3192763,6.9335604
76,7.216935,9.427641,5.8755984,4.257571,6.9817076
77,7.152045,9.450744,5.908231,4.2646384,6.91263
78,7.147874,9.332037,5.7632794,4.3160996,7.0047903
79,7.0966887,9.331135,5.8949456,4.2854733,6.882252
80,7.074674,9.319084,5.852072,4.314289,6.8330317
81,7.1006374,9.3012495,5.924499,4.383817,6.9403424
82,7.0350823,9.360078,5.786268,4.205852,6.786333
83,7.0270414,9.340522,5.8552623,4.1995387,6.7563853
84,6.9696116,9.365604,5.752613,4.1501045,6.893812
85,7.0217934,9.285612,5.734383,4.201564,6.787776
86,7.0431166,9.284625,5.8446536,4.114592,6.781356
87,6.9967446,9.008872,5.82147,4.087849,6.752553
88,6.9175544,9.282455,5.764307,4.0589375,6.649759
89,7.0284657,9.456246,5.7573013,4.117858,6.7432275
90,7.068762,9.219161,5.634716,4.1096554,6.6534777
91,6.8956513,9.096447,5.6985235,4.1093106,6.7083535
92,6.769378,9.2992115,5.6270103,4.0887003,6.7976847
93,6.994394,9.129824,5.5418367,4.07563,6.605467
94,6.947941,9.17441,5.6291685,4.1039715,6.5977015
95,6.791854,9.094619,5.6629343,4.069795,6.6209416
96,6.817145,9.15701,5.6552997,3.9433477,6.4419827
97,6.8169203,9.163714,5.6875463,4.023251,6.6486626
98,6.802922,9.137052,5.639401,3.9267278,6.471134
99,6.7958474,8.95808,5.5222535,3.927445,6.5574617
100,6.762705,9.372953,5.5372376,3.9943528,6.484648
101,6.8011875,9.198345,5.521318,3.98748,6.572962
102,6.7220836,9.058413,5.6288013,3.9755602,6.409408
103,6.7493153,9.102532,5.556142,4.024231,6.498604
104,6.653445,8.9697275,5.623244,4.046314,6.559474
105,6.6105604,8.99667,5.4135113,3.8817992,6.355736
106,6.7488766,9.0658245,5.496892,3.8926203,6.485427
107,6.79513,9.131299,5.384274,3.8600245,6.4343677
108,6.765675,9.136842,5.528165,3.9150584,6.5118437
109,6.721981,8.934968,5.5023713,3.878631,6.518734
110,6.66857,9.007897,5.3647666,3.8746393,6.4298162
111,6.6170125,9.131676,5.490081,3.9248068,6.3670053
112,6.6496162,9.078654,5.4879775,3.824251,6.2991467
113,6.7408257,9.061033,5.4443393,3.8793032,6.368371
114,6.646332,8.909747,5.432487,3.7403476,6.3396235
115,6.6434464,9.0030575,5.534786,3.7435193,6.263479
