Step,Time[s],Residual-term,Normalization-term,Orthogonalization-term,e0,e1,e2,e3,e4
12200,4086.97,1.0399e+00,1.3447e-02,4.4932e-03,2.03871727,3.04284406,3.04605246,3.05434632,3.0562501
12300,4120.38,1.0165e+00,2.1324e-02,5.0454e-03,2.03571033,3.05214834,3.05354691,3.05614591,3.0577507
12400,4153.75,1.0214e+00,2.2554e-02,7.2748e-03,2.03154016,3.04504561,3.04877496,3.05034494,3.05132341
12500,4187.16,9.3263e-01,2.5835e-02,7.1797e-03,2.03387833,3.0420351,3.04489493,3.05143905,3.05250859
12600,4220.59,9.9329e-01,5.5067e-02,8.6835e-03,2.02571034,3.03987312,3.05003858,3.05120611,3.05128121
12700,4254.10,8.7366e-01,1.9302e-02,3.4066e-03,2.02479935,3.0421648,3.04648972,3.04945087,3.0554657
12800,4287.60,8.4718e-01,3.6945e-02,2.4169e-02,2.02923918,3.04412174,3.04652715,3.05397964,3.06448317
12900,4320.96,8.5229e-01,1.9053e-02,6.4390e-03,2.02195096,3.03910112,3.0401392,3.04385161,3.04696488
13000,4354.45,8.6994e-01,1.3582e-02,9.1746e-03,2.02302432,3.0430212,3.04388332,3.04440951,3.04847407
13100,4387.98,8.0414e-01,4.5889e-02,1.3450e-02,2.02386498,3.03262305,3.03484941,3.04692388,3.04724908
13200,4421.34,7.3637e-01,3.3370e-02,2.6666e-03,2.02267814,3.03698325,3.04142118,3.04265785,3.05545759
13300,4454.91,6.9835e-01,1.3048e-02,9.6140e-03,2.02518225,3.03941822,3.04096889,3.04124856,3.04273367
13400,4488.32,7.0154e-01,1.2813e-02,2.5821e-02,2.01845717,3.03616667,3.03640771,3.03962278,3.04795408
13500,4522.09,7.8046e-01,2.4965e-02,3.3860e-02,2.0180831,3.02602267,3.02978849,3.04042387,3.04406643
13600,4555.67,6.7101e-01,1.9405e-02,1.0161e-02,2.02047539,3.0304153,3.03564739,3.03677797,3.03688645
13700,4589.16,7.0869e-01,4.6740e-02,2.7027e-02,2.01783419,3.03602028,3.04909658,3.05004406,3.06139302
13800,4622.62,6.1835e-01,2.2079e-02,1.7386e-02,2.0159781,3.02761054,3.04034805,3.04145741,3.0449996
13900,4656.10,5.8846e-01,4.2093e-02,5.7965e-03,2.01261401,3.04023933,3.04090285,3.04360223,3.04487991
14000,4689.72,6.5924e-01,2.4502e-02,1.4737e-02,2.01476097,3.0313499,3.03551412,3.04294944,3.05188036
14100,4723.37,6.5255e-01,4.7343e-02,5.9485e-03,2.01599216,3.03036714,3.03205442,3.0367434,3.05033588
14200,4757.54,5.4243e-01,2.6019e-02,1.3036e-02,2.01353216,3.0391643,3.03928375,3.04362297,3.0472815
14300,4791.20,6.0648e-01,4.5560e-02,2.1850e-02,2.0124557,3.03282428,3.04085898,3.04541683,3.05182552
14400,4824.59,5.4570e-01,5.2750e-03,1.2990e-02,2.01699162,3.02367067,3.02745509,3.02997255,3.03121758
14500,4857.94,5.0872e-01,2.5706e-02,1.7700e-02,2.00883245,3.02333426,3.03220248,3.03293014,3.03411746
14600,4891.28,5.2464e-01,3.6788e-02,2.4594e-02,2.010113,3.0197928,3.02470255,3.03194904,3.03599095
14700,4924.82,5.1169e-01,8.1626e-03,1.6529e-02,2.01756215,3.03304148,3.0339334,3.03745914,3.03858471
14800,4958.27,4.6914e-01,1.0764e-02,7.4952e-03,2.00939035,3.02725267,3.02780914,3.0327301,3.03968716
14900,4991.90,4.4119e-01,1.1315e-02,1.0031e-02,2.00808334,3.02589488,3.02657819,3.02665687,3.03500795
